"Vuosi","Asuinpaikka","Kansalaisuus","Rikosryhmä","Tunnusluku","Oikeudessa tuomitut, rangaistusmääräyssakot ja rikesakot yhteensä (lkm)","Oikeudessa tuomitut (lkm)","Elinkautiseen vankeuteen tuomitut (lkm)","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen, valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä","Määräaikaiseen yhdistelmärangaistukseen, ehdottomaan vankeuteen,  valvontarangaistukseen tai yhdyskuntapalveluun tuomitut yhteensä (kk)","Yhdistelmärangaistukseen tuomitut","Ehdottomaan vankeuteen tuomitut","Valvontarangaistukseen tuomitut","Yhdyskuntapalveluun tuomitut","Ehdolliseen vankeuteen tuomitut","Aikaisempi rangaistus riittävä seuraamus","Rangaistusmääräyksellä sakkoon tuomitut (lkm)","Rangaistusmääräyksellä sakkoon tuomitut (laki: 754/2010)  (lkm)","Sakkomääräyksellä sakkoon tuomitut (lkm)","Muu seuraamus (lkm)","Rikesakko, alioikeudessa tuomitut (lkm)","Rikesakko (lkm)","Tuomitsematta jättäminen (lkm)","Syyte hylätty (lkm)","Asia rauennut (lkm)","Uhkasakko (lkm)","Syyksi luettuja rikoksia oikeudessa, rangaistusmääräyssakoissa ja rikesakoissa yhteensä (lkm)","Syyksi luettuja rikoksia oikeudessa (lkm)","Hylättyjä syytteitä yhteensä (lkm)","Rauenneita syytteitä yhteensä (lkm)"
"2017","Yhteensä","Suomi","Törkeä liikenneturvallisuuden vaarantaminen 23:2","Rangaistusten lukumäärä",2329,2329,0,227,0.0,0,179,8,40,281,3,0,0,0,0,0,0,5,10,2,0,2737,2737,21,3
"2017","Yhteensä","Suomi","Rattijuopumus 23:3","Rangaistusten lukumäärä",5769,5769,0,419,0.0,0,352,11,56,98,33,0,0,0,0,0,0,2,18,5,0,8519,8519,97,26
"2017","Yhteensä","Suomi","Törkeä rattijuopumus 23:4","Rangaistusten lukumäärä",5097,5097,0,1214,0.0,0,462,91,661,3781,1,0,0,0,1,0,0,2,29,8,0,5392,5392,56,12
"2017","Yhteensä","Suomi","Muu liikennejuopumus 23:5-7","Rangaistusten lukumäärä",198,198,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,203,203,1,0
"2017","Yhteensä","Suomi","Kulkuneuvon luovuttaminen juopuneelle 23:8","Rangaistusten lukumäärä",237,237,0,2,0.0,0,2,0,0,0,6,0,0,0,0,0,0,0,21,0,0,280,280,37,1
"2017","Yhteensä","Suomi","Muut liikennerikokset 23:9-11","Rangaistusten lukumäärä",10015,669,0,168,0.0,0,134,4,30,73,26,516,5726,3104,0,0,0,3,6,1,0,17856,8510,83,34
"2017","Yhteensä","Suomi","F. Muut rikoslakia vastaan tehdyt rikokset","Rangaistusten lukumäärä",14183,7565,0,999,0.0,0,819,8,172,1877,72,333,5967,10,3,1,308,81,557,72,0,27269,20651,1649,228
"2017","Yhteensä","Suomi","Aserikokset, terveyttä ja turvallisuutta vaarantavat rikokset 41, 44 luku","Rangaistusten lukumäärä",3090,1018,0,115,0.0,0,92,1,22,107,19,124,1632,10,0,1,306,15,49,6,0,5317,3245,183,27
"2017","Yhteensä","Suomi","Tuhotyö, liikennetuhotyö 34:1-3, 34a:1§1/3,5","Rangaistusten lukumäärä",42,42,0,14,0.0,0,13,0,1,24,0,0,0,0,0,0,0,4,12,0,0,55,55,23,0
"2017","Yhteensä","Suomi","Väärennys, rahan väärennys 33:1-5, 37:1-7","Rangaistusten lukumäärä",278,236,0,47,0.0,0,36,1,10,38,9,4,38,0,0,0,0,4,21,0,0,1093,1051,102,9
"2017","Yhteensä","Suomi","Sotilasrikokset 45 luku","Rangaistusten lukumäärä",338,338,0,5,0.0,0,1,1,3,116,0,0,0,0,1,0,0,7,9,1,0,404,404,14,1
"2017","Yhteensä","Suomi","Työrikokset 47 luku","Rangaistusten lukumäärä",133,129,0,0,0.0,0,0,0,0,2,0,1,3,0,0,0,0,5,56,1,0,156,152,62,2
"2017","Yhteensä","Suomi","Ympäristörikokset 48 luku, 34a:1§1/4","Rangaistusten lukumäärä",95,52,0,1,0.0,0,0,0,1,14,0,4,39,0,0,0,0,1,16,0,0,106,63,21,0
"2017","Yhteensä","Suomi","Alkoholirikokset 50a luku","Rangaistusten lukumäärä",261,27,0,3,0.0,0,2,0,1,6,0,26,207,0,0,0,1,0,6,0,0,288,54,17,0
"2017","Yhteensä","Suomi","Huumausainerikokset 50 luku","Rangaistusten lukumäärä",8106,3977,0,630,0.0,0,519,5,106,1026,33,165,3963,0,0,0,1,20,136,21,0,15577,11448,417,69
"2017","Yhteensä","Suomi","Muut 11-14,18,24,25,30,38,40,48a,49,51 luvut, 34:4-11, 34a:1§1/1,3-5, 34a:2-5","Rangaistusten lukumäärä",1840,1746,0,184,0.0,0,156,0,28,544,11,9,85,0,2,0,0,25,252,43,0,4273,4179,810,120
"2017","Yhteensä","Suomi","G. Muita lakeja vastaan tehdyt rikokset","Rangaistusten lukumäärä",347914,2302,0,28,0.0,0,0,28,0,0,1,2574,3731,22086,0,356,317221,23,76,10,1287,351597,5985,185,41
"2017","Yhteensä","Suomi","Alkoholilaki 50a:4,6","Rangaistusten lukumäärä",697,7,0,0,0.0,0,0,0,0,0,0,15,21,1,0,3,653,0,0,0,0,739,49,1,0
"2017","Yhteensä","Suomi","Tieliikennelaki 103§, 105a§, Ajoneuvolaki 96§, Ajokorttilaki 93§, 94§","Rangaistusten lukumäärä",339061,722,0,0,0.0,0,0,0,0,0,1,2138,299,21326,0,341,314576,15,48,7,0,341442,3103,116,28
"2017","Yhteensä","Suomi","Laki järjestyksenvalvojista 26§, Kokoontumislaki 26§","Rangaistusten lukumäärä",33,1,0,0,0.0,0,0,0,0,0,0,1,31,0,0,0,0,0,2,0,0,36,4,2,0
